850	1
11918	2
2075	3
12052	4
341	5
1052	6
6779	7
242	8
11008	9
326	10
886	11
8936	12
12932	13
230	14
1127	15
29	16
1135	17
11153	18
3284	19
5462	20
629	21
3373	22
2535	23
8060	24
2995	25
1100	26
851	27
10826	28
1509	29
1525	30
7348	31
5562	32
11363	33
1558	34
1854	35
6226	36
7804	37
8494	38
3298	39
6605	40
10667	41
10352	42
2301	43
151	44
1558	45
9332	46
7484	47
1508	48
8162	49
11818	50
11086	51
6922	52
93	53
6640	54
3852	55
1441	56
3875	57
284	58
7829	59
548	60
13237	61
211	62
2839	63
1895	64
3703	65
1235	66
7364	67
59	68
3119	69
7469	70
8676	71
1187	72
12051	73
5675	74
3167	75
1234	76
3216	77
3050	78
4714	79
8703	80
2729	81
7154	82
1706	83
1546	84
145	85
1682	86
10974	87
6454	88
11296	89
22	90
10182	91
5848	92
11287	93
5809	94
3714	95
6901	96
3283	97
1842	98
1199	99
3420	100
12389	101
847	102
3303	103
706	104
3724	105
1635	106
1628	107
7929	108
10108	109
13502	110
507	111
2220	112
2248	113
553	114
639	115
11227	116
13224	117
3590	118
5556	119
2564	120
3	121
12149	122
877	123
478	124
2116	125
3088	126
394	127
2071	128
2320	129
10601	130
4597	131
3715	132
4486	133
5199	134
2596	135
13085	136
12647	137
8134	138
1952	139
11207	140
9706	141
6162	142
144	143
13461	144
3083	145
7331	146
10219	147
1901	148
173	149
2275	150
772	151
820	152
10141	153
7903	154
6258	155
4297	156
1718	157
5689	158
546	159
4953	160
6785	161
2363	162
2928	163
12055	164
3028	165
6648	166
6771	167
913	168
6704	169
7587	170
4500	171
6791	172
291	173
8484	174
154	175
13397	176
8518	177
1569	178
6661	179
4032	180
25	181
1968	182
5866	183
990	184
1008	185
3709	186
7120	187
358	188
23	189
2464	190
7299	191
571	192
1117	193
1430	194
5283	195
3056	196
4985	197
45	198
565	199
276	200
5317	201
3217	202
6986	203
2403	204
6143	205
2028	206
11742	207
301	208
136	209
9119	210
11373	211
3210	212
5160	213
3877	214
6668	215
2464	216
6446	217
10368	218
474	219
4551	220
4038	221
1949	222
2209	223
2256	224
287	225
529	226
367	227
2175	228
38	229
12053	230
3599	231
7810	232
2067	233
10068	234
402	235
1860	236
386	237
12980	238
736	239
7631	240
1277	241
9170	242
10003	243
640	244
4969	245
639	246
5367	247
4754	248
882	249
1934	250
6087	251
6092	252
2063	253
10216	254
90	255
6011	256
430	257
109	258
13111	259
1282	260
2064	261
553	262
5345	263
3695	264
7576	265
918	266
13407	267
